country,ARIMA_MAE,ARIMA_RMSE,SARIMA_MAE,SARIMA_RMSE,SARIMAX_MAE,SARIMAX_RMSE,Prophet_MAE,Prophet_RMSE,LSTM_MAE,LSTM_RMSE
United States of America,2.1816058044716193,2.652467075116803,1.6295271023675326,1.9720718550492617,1.906614871221496,2.3185177888751154,1.6780693725730096,2.206390021759254,2.4562223570121304,2.957400273624642
China,0.7440763927946286,0.8251677509805155,0.8530808112183212,0.9176001435045958,1433911.747988415,2463920.4237400526,1.707866767982054,1.7484799172582066,1.3917627266338126,1.5720433661829416
United Kingdom,0.3552000177602004,0.41661489474965296,0.4999943958687254,0.5403439452643619,0.4970582761848643,0.5524328028982963,1.1240113169223367,1.1832374764776183,5.670643986959881,5.684911511092729
Canada,1.730006910963624,1.923910821954667,0.0258437101115927,0.03200864194506428,248.18642509875397,288.7722255188923,0.5443075209112305,0.7276765210817332,1.9262288342913223,2.1050842215349497
Israel,1.9408292931112108,2.081423356557514,0.32071038500256854,0.37062881264203035,0.6773380219989065,0.7305043839762297,0.8904266079210288,1.00032159837015,0.9568170035899861,1.2680120686521583
Singapore,0.2881994206436609,0.3268979338710181,0.0963013475110781,0.10918471280682432,0.5796506006335509,0.7697325027899767,0.7884444400895934,0.9353568868742187,2.451974963755081,2.6121858178711737
South Korea,0.34817542879003227,0.3840364016783514,0.17838470863657285,0.2357415183931954,0.5407596640839518,0.6151284271562575,0.5283725258528005,0.5895162722434079,1.3355529531484382,1.459781993339121
The Netherlands,1.3588818591756784,1.588037811306529,0.23183925100861735,0.2635781952846938,10.751070099868414,10.824059735176299,0.7627784623917204,0.8554710798518496,5.286433048421632,5.35282954214256
Germany,0.25275266985785017,0.3660135537665266,0.5423442871948687,0.6562831660120969,0.4075398221269566,0.49804744947803775,0.7745963418926127,0.8833330977055968,0.901869837049091,1.1739555909097614
France,2.2589817002108656,2.3275817335284845,0.34235850661606015,0.45233876734255796,1.2582599411467035,1.445554612060741,1.2491839357962915,1.2684999301068216,2.2268219056384186,2.320613888184932
Australia,1.5971991931659346,1.6932235051396358,0.20062751064843276,0.24367646896212405,0.9608763426679392,1.1010663840271808,0.6363095969962966,0.727692668968255,2.0086155822237792,2.095126507655779
Ireland,0.4564865909277591,0.5525636740243748,0.4787214365767074,0.5427445684807216,0.4042644257994299,0.5303641486556218,0.36172865731865933,0.449416493402431,0.9140145615504922,1.1642207125388888
Finland,0.40958895253613736,0.5605184848866838,0.4169388924987789,0.5937271889558895,0.3042331666272249,0.4127578148944363,0.9466233867018401,1.0064736685444058,4.403002308766268,4.441359565379995
Denmark,0.36298603973654764,0.5142091327280078,0.3068653239313397,0.34044392900503356,0.494512014966074,0.7854023671240676,0.5462383309400263,0.593268671527526,2.3606519537028463,2.3726937476643943
Luxembourg,1.5358188784147053,1.6344515101665043,0.4050699958686712,0.44364563532997514,0.4426535090047139,0.6728092390773389,1.0484353294176012,1.051226925867895,2.330238601733779,2.3947621258743577
Japan,0.06346622968612348,0.09583297694227784,0.23768785572903894,0.3310674072994107,0.5779788690450731,0.6081243296046326,0.7788831046283633,0.8892536093266864,2.4620812622506545,2.524824079613912
India,1.3903392550716633,1.6622428229973158,0.5082184401243497,0.5705748121881954,0.5112684368777325,0.6059352326632181,0.8873073154247786,1.0752503425784925,0.7912120113010941,1.1949613528420089
Switzerland,0.6579603406490744,0.678184231237616,0.47011350567324595,0.49923516440286037,0.33683320639768866,0.4092057788023213,0.5252911968241696,0.5607239261022734,1.7951215628053223,1.8576199769602209
Sweden,1.5856217077018435,1.6536374601549313,0.2315696783677792,0.2768896014979579,0.7525056528937819,0.8089898317105988,1.069230260675381,1.0800633225772185,0.9137493138540691,1.0666944650628047
Hong Kong,0.25798876635242074,0.34476537517130057,0.30757860363481093,0.36632493876546757,0.8567285671886271,0.9426384582114075,0.6434368031716389,0.6639595706350077,1.0432318084896828,1.1326340660420071
Spain,0.9264299237407387,1.0690418708701355,0.1711423728757726,0.18714866429965182,0.6247757963021909,0.6772419035579689,0.7326681336203187,0.8080635083731706,3.2379020858102647,3.277238461612841
Austria,0.25301384827463824,0.32928222853316097,0.3043048324028179,0.3954779949857695,0.32177745738773744,0.3827382643033066,0.9029351347528767,1.0514505302258292,1.1775696601735222,1.2993335782793254
Estonia,0.6265027104942487,0.7070066469198443,0.2533892783074849,0.2586931880490852,0.3163338757778531,0.34853820679808434,0.37591019337531506,0.4499069505091021,4.209505689842,4.238238071148428
Taiwan,0.8612213823661694,1.002114179241019,0.22438430875675586,0.289792283862302,0.46968051275131995,0.5236141787003041,0.48887999659268555,0.5859774013193004,0.915770636146978,1.0343495531635618
Norway,1.0489540419717143,1.1772823181565517,0.2152063074410826,0.23583510700986812,0.12795586991540642,0.16100007067959424,0.5804930138348183,0.6668798679015477,3.1493930458971056,3.1968723235494148
Saudi Arabia,0.8461404348649451,0.9634438123632658,0.18947388558360778,0.1952740515003557,0.6727824404817326,0.7205026559981699,0.9162359298937197,0.9603157587819681,3.6905244469820824,3.7308627720015686
